ID,date,description,amount,type,account_number,currency
0,06/04/2025,BOOKSTORE.COM 221-716-0414 US,-24.13,debit,MT84MALT011000012345MTLCAST001S,EUR
1,06/04/2025,DPZ MT-901577,-7.44,debit,MT84MALT011000012345MTLCAST001S,EUR
2,06/04/2025,SPOTIFY #89471,-35.27,debit,MT84MALT011000012345MTLCAST001S,EUR
3,08/04/2025,MCDONALD'S #91057 MT,-27.01,debit,MT84MALT011000012345MTLCAST001S,EUR
4,09/04/2025,NETFLIX.COM 894-716-0414 US,-27.95,debit,MT84MALT011000012345MTLCAST001S,EUR
5,10/04/2025,DPZ MT-498855,-19.59,debit,MT84MALT011000012345MTLCAST001S,EUR
6,12/04/2025,SPOTIFY ONLINE NLD,-48.65,debit,MT84MALT011000012345MTLCAST001S,EUR
7,13/04/2025,TKT*CONCERT,-41.78,debit,MT84MALT011000012345MTLCAST001S,EUR
8,14/04/2025,MCDONALD'S #66207 MT,-5.81,debit,MT84MALT011000012345MTLCAST001S,EUR
9,14/04/2025,TKT*MCDONALD'S,-18.4,debit,MT84MALT011000012345MTLCAST001S,EUR
10,15/04/2025,MCDONALD'S #91399 MT,-12.59,debit,MT84MALT011000012345MTLCAST001S,EUR
11,17/04/2025,POS 739244 LOCAL DELI MT BIRKIRKARA,-13.02,debit,MT84MALT011000012345MTLCAST001S,EUR
12,17/04/2025,CARD PURCHASE TECH STORE STORE #4404 LDN,-47.64,debit,MT84MALT011000012345MTLCAST001S,EUR
13,18/04/2025,ZARA.COM 370-716-0414 US,-52.06,debit,MT84MALT011000012345MTLCAST001S,EUR
15,19/04/2025,SPOTIFY.COM 277-716-0414 US,-59.87,debit,MT84MALT011000012345MTLCAST001S,EUR
14,19/04/2025,CARD PURCHASE PARKING GARAGE STORE #3573 LDN,-1.82,debit,MT84MALT011000012345MTLCAST001S,EUR
16,20/04/2025,DPZ MT-178711,-59.81,debit,MT84MALT011000012345MTLCAST001S,EUR
17,20/04/2025,GOOGLE *BOOKSTORE,-97.53,debit,MT84MALT011000012345MTLCAST001S,EUR
18,20/04/2025,POS 528361 LIDL MT BIRKIRKARA,-8.06,debit,MT84MALT011000012345MTLCAST001S,EUR
19,21/04/2025,NETFLIX ONLINE MLT,-44.09,debit,MT84MALT011000012345MTLCAST001S,EUR
20,22/04/2025,MCDONALD'S #71592 MT,-7.23,debit,MT84MALT011000012345MTLCAST001S,EUR
21,24/04/2025,TKT*GAMESTORE,-40.45,debit,MT84MALT011000012345MTLCAST001S,EUR
22,26/04/2025,POS 342720 TECH STORE MT BIRKIRKARA,-134.23,debit,MT84MALT011000012345MTLCAST001S,EUR
23,26/04/2025,TKT*LOCALDELI,-14.77,debit,MT84MALT011000012345MTLCAST001S,EUR
24,27/04/2025,TKT*BOOKSTORE,-126.08,debit,MT84MALT011000012345MTLCAST001S,EUR
25,27/04/2025,DOMINO'S PIZZA ONLINE ESP,-23.94,debit,MT84MALT011000012345MTLCAST001S,EUR
26,28/04/2025,BOOKSTORE.COM 370-716-0414 US,-145.37,debit,MT84MALT011000012345MTLCAST001S,EUR
27,28/04/2025,MCDONALD'S #96662 MT,-23.94,debit,MT84MALT011000012345MTLCAST001S,EUR
28,29/04/2025,CINEMA TICKETS.COM 535-716-0414 US,-31.91,debit,MT84MALT011000012345MTLCAST001S,EUR
31,30/04/2025,Payroll ACME Ltd,2343.85,credit,MT84MALT011000012345MTLCAST001S,EUR
